fileName,iterations,fixed,repeated_fixes,repeated_init_spec,fst_iter_repeated_init_spec,wrong_format_msg,analyzer_agent_tokens,analyzer_agent_cost,prompt_agent_tokens,prompt_agent_cost,running_time,Error_msg
classroom_inv13_41,6,reached_max_iter,0,0,FALSE,6,29912,0.0354,0,0,73.09,
classroom_inv13_40,6,reached_max_iter,0,0,FALSE,1,17982,0.0226,0,0,56.9,
classroom_inv13_42,6,reached_max_iter,0,0,FALSE,2,17162,0.0209,0,0,50.99,
classroom_inv13_43,6,reached_max_iter,0,0,FALSE,4,25677,0.0312,0,0,79.11,
classroom_inv13_9,6,reached_max_iter,0,0,FALSE,0,19325,0.0243,0,0,66.07,
classroom_inv13_8,6,reached_max_iter,0,0,FALSE,2,18248,0.0222,0,0,51.28,
classroom_inv13_46,6,reached_max_iter,0,0,FALSE,1,20094,0.0266,0,0,80.9,
classroom_inv13_44,6,reached_max_iter,0,0,FALSE,3,20555,0.0261,0,0,68.64,
classroom_inv13_45,6,reached_max_iter,0,1,FALSE,1,18097,0.0236,0,0,73.13,
classroom_inv13_36,6,reached_max_iter,0,0,FALSE,6,30257,0.0359,0,0,88.79,
classroom_inv13_22,6,reached_max_iter,0,0,FALSE,5,20537,0.0249,0,0,64.72,
classroom_inv13_23,6,reached_max_iter,0,0,FALSE,6,30930,0.0367,0,0,69.24,
classroom_inv13_37,6,reached_max_iter,0,0,FALSE,2,19057,0.0248,0,0,78.96,
classroom_inv13_21,6,reached_max_iter,0,1,FALSE,0,18583,0.0244,0,0,83.9,
classroom_inv13_35,6,reached_max_iter,0,0,FALSE,4,39657,0.0486,0,0,124.47,
classroom_inv13_34,6,reached_max_iter,0,0,FALSE,2,14662,0.0173,0,0,33.31,
classroom_inv13_20,6,reached_max_iter,0,0,FALSE,3,20425,0.0258,0,0,73.18,
classroom_inv13_24,6,reached_max_iter,0,0,FALSE,1,18613,0.0239,0,0,76.67,
classroom_inv13_30,6,reached_max_iter,0,0,FALSE,1,19008,0.0247,0,0,75.12,
classroom_inv13_18,6,reached_max_iter,0,0,FALSE,3,15018,0.0187,0,0,46.68,
classroom_inv13_19,6,reached_max_iter,0,0,FALSE,6,36210,0.0435,0,0,98.14,
classroom_inv13_31,6,reached_max_iter,0,0,FALSE,6,30420,0.0361,0,0,69.36,
classroom_inv13_25,6,reached_max_iter,0,0,FALSE,5,21275,0.0253,0,0,48.07,
classroom_inv13_33,6,reached_max_iter,0,0,FALSE,3,16786,0.0212,0,0,57.25,
classroom_inv13_27,6,reached_max_iter,0,0,FALSE,2,15194,0.0195,0,0,51.05,
classroom_inv13_26,6,reached_max_iter,0,0,FALSE,1,16579,0.0207,0,0,54.15,
classroom_inv13_32,6,reached_max_iter,0,0,FALSE,2,17548,0.0219,0,0,52.65,
classroom_inv13_17,6,reached_max_iter,0,1,FALSE,1,16842,0.0221,0,0,66.24,
classroom_inv13_16,6,reached_max_iter,0,0,FALSE,5,24876,0.0301,0,0,75.77,
classroom_inv13_28,6,reached_max_iter,0,0,FALSE,6,29402,0.0348,0,0,83.05,
classroom_inv13_14,6,reached_max_iter,0,0,FALSE,6,30324,0.036,0,0,85.3,
classroom_inv13_15,6,reached_max_iter,0,0,FALSE,2,14575,0.0172,0,0,38.23,
classroom_inv13_29,6,reached_max_iter,0,1,FALSE,1,16867,0.0211,0,0,50.85,
classroom_inv13_11,6,reached_max_iter,0,0,FALSE,1,16559,0.02,0,0,44.61,
classroom_inv13_39,6,reached_max_iter,0,0,FALSE,6,29961,0.0355,0,0,68.66,
classroom_inv13_38,6,reached_max_iter,0,0,FALSE,6,29904,0.0354,0,0,70.46,
classroom_inv13_10,6,reached_max_iter,0,1,FALSE,1,16811,0.0216,0,0,58.94,
classroom_inv13_12,6,reached_max_iter,0,0,FALSE,6,30074,0.0356,0,0,84.25,
classroom_inv13_13,6,reached_max_iter,0,0,FALSE,3,18882,0.0233,0,0,63.44,
classroom_inv13_6,6,reached_max_iter,0,0,FALSE,0,20874,0.0278,0,0,120.31,
classroom_inv13_7,6,reached_max_iter,0,0,FALSE,6,30401,0.036,0,0,93.93,
classroom_inv13_5,6,reached_max_iter,0,2,TRUE,0,19035,0.0246,0,0,69.58,
classroom_inv13_4,6,reached_max_iter,0,0,FALSE,5,25647,0.0313,0,0,76.66,
