fileName,iterations,fixed,repeated_fixes,repeated_init_spec,fst_iter_repeated_init_spec,wrong_format_msg,analyzer_agent_tokens,analyzer_agent_cost,prompt_agent_tokens,prompt_agent_cost,running_time,Error_msg
cv_inv3_21,1,YES,0,0,FALSE,0,1325,0.0536,0,0,15.51,
cv_inv3_35,1,YES,0,0,FALSE,0,1399,0.0581,0,0,7.65,
graphs_weaklyConnected_136,6,reached_max_iter,0,0,FALSE,1,13485,0.5361,0,0,59.23,
lts_inv7_05,2,YES,0,0,FALSE,0,4159,0.1767,0,0,25.66,
graphs_oriented_18,6,reached_max_iter,0,0,FALSE,0,12566,0.4884,0,0,45.58,
lts_inv7_11,3,YES,0,0,FALSE,0,6342,0.2626,0,0,29.4,
lts_inv7_10,2,YES,0,0,FALSE,0,4158,0.1761,0,0,23.35,
lts_inv7_04,1,YES,0,0,FALSE,0,1774,0.0734,0,0,9.06,
graphs_weaklyConnected_137,2,YES,0,0,FALSE,0,4712,0.2013,0,0,22.91,
graphs_complete_34,2,YES,0,0,FALSE,0,4727,0.2018,0,0,33.06,
cv_inv3_34,1,YES,0,0,FALSE,0,1376,0.0577,0,0,7.16,
cv_inv3_20,1,YES,0,0,FALSE,0,1334,0.0539,0,0,6.97,
cv_inv3_36,6,YES,0,0,FALSE,0,9628,0.3869,0,0,44.33,
cv_inv3_22,1,YES,0,0,FALSE,0,1326,0.0536,0,0,7.32,
graphs_undirected_18,6,reached_max_iter,0,0,FALSE,0,12093,0.4556,0,0,45.17,
graphs_weaklyConnected_135,5,YES,0,0,FALSE,0,11411,0.4633,0,0,49.05,
lts_inv7_12,2,YES,0,0,FALSE,0,4095,0.1742,0,0,22.28,
lts_inv7_06,2,YES,0,0,FALSE,0,4165,0.1769,0,0,23.26,
lts_inv7_07,5,YES,0,0,FALSE,0,10867,0.4541,0,0,51.77,
lts_inv7_13,3,YES,0,0,FALSE,0,6120,0.2615,0,0,31.7,
graphs_weaklyConnected_134,6,reached_max_iter,0,0,FALSE,1,12886,0.5022,0,0,47.85,
graphs_undirected_19,6,reached_max_iter,0,0,FALSE,0,12398,0.4744,0,0,46.67,
cv_inv3_23,1,YES,0,0,FALSE,0,1376,0.0577,0,0,7.8,
cv_inv3_37,1,YES,0,0,FALSE,0,1382,0.0575,0,0,7.14,
cv_inv3_33,2,YES,0,0,FALSE,0,3278,0.1311,0,0,18.25,
cv_inv3_27,1,YES,0,0,FALSE,0,1422,0.0594,0,0,7.95,
graphs_undirected_21,6,reached_max_iter,0,0,FALSE,0,15036,0.6331,0,0,74.89,
graphs_complete_27,2,YES,0,0,FALSE,0,4732,0.2018,0,0,26.82,
graphs_complete_33,2,YES,0,0,FALSE,0,4732,0.2021,0,0,26.27,
lts_inv7_17,3,YES,0,0,FALSE,0,6125,0.2561,0,0,27.31,
lts_inv7_03,4,YES,0,0,FALSE,0,8385,0.3561,0,0,63.53,
graphs_weaklyConnected_130,4,YES,0,0,FALSE,0,9941,0.4212,0,0,50.33,
graphs_weaklyConnected_131,6,reached_max_iter,0,0,FALSE,0,14981,0.6311,0,0,74.25,
lts_inv7_02,3,YES,0,0,FALSE,0,6522,0.2745,0,0,29.21,
lts_inv7_16,2,YES,0,0,FALSE,0,4111,0.1753,0,0,17.9,
graphs_complete_32,5,YES,0,0,FALSE,1,10053,0.385,0,0,40.8,
graphs_undirected_20,6,reached_max_iter,0,0,FALSE,0,11810,0.4393,0,0,51.84,
cv_inv3_26,1,YES,0,0,FALSE,0,1396,0.0583,0,0,10.01,
cv_inv3_32,1,YES,0,0,FALSE,0,1341,0.0552,0,0,6.19,
cv_inv3_24,1,YES,0,0,FALSE,0,1387,0.0576,0,0,7.66,
cv_inv3_30,2,YES,0,0,FALSE,0,3280,0.1312,0,0,13.94,
cv_inv3_18,2,YES,0,0,FALSE,0,3292,0.1317,0,0,13.89,
graphs_undirected_22,6,reached_max_iter,0,0,FALSE,0,11907,0.4455,0,0,40.1,
graphs_complete_30,6,YES,0,0,FALSE,0,12687,0.5011,0,0,54.56,
lts_inv7_14,2,YES,0,0,FALSE,0,4113,0.1754,0,0,24.46,
lts_inv7_28,2,YES,0,0,FALSE,0,4086,0.1742,0,0,18.06,
graphs_weaklyConnected_133,2,YES,0,0,FALSE,0,4760,0.2034,0,0,26.04,
lts_inv7_29,2,YES,0,0,FALSE,0,4045,0.1717,0,0,22.82,
graphs_weaklyConnected_132,6,reached_max_iter,0,0,FALSE,2,11966,0.445,0,0,40.39,
lts_inv7_15,3,YES,0,0,FALSE,0,6309,0.2682,0,0,31.17,
lts_inv7_01,1,YES,0,0,FALSE,0,1754,0.0728,0,0,11.79,
graphs_complete_31,2,YES,0,0,FALSE,0,4730,0.202,0,0,26.13,
cv_inv3_19,1,YES,0,0,FALSE,0,1399,0.058,0,0,6.01,
cv_inv3_31,2,YES,0,0,FALSE,0,3319,0.133,0,0,13.11,
cv_inv3_25,1,YES,0,0,FALSE,0,1392,0.0578,0,0,6.54,
cv_inv3_42,1,YES,0,0,FALSE,0,1425,0.0593,0,0,8.28,
graphs_stronglyConnected_22,2,YES,0,0,FALSE,0,4794,0.205,0,0,27.74,
lts_inv5_63,6,reached_max_iter,0,0,FALSE,0,13560,0.5584,0,0,64.5,
graphs_acyclic_24,1,YES,0,0,FALSE,0,2256,0.0977,0,0,10.48,
graphs_acyclic_25,1,YES,0,0,FALSE,0,2258,0.0978,0,0,11.58,
lts_inv5_62,6,reached_max_iter,0,0,FALSE,0,13505,0.5622,0,0,67.38,
graphs_stronglyConnected_23,6,reached_max_iter,0,0,FALSE,0,14950,0.6287,0,0,74.66,
cv_inv3_43,2,YES,0,0,FALSE,0,3203,0.128,0,0,15.58,
cv_inv3_41,1,YES,0,0,FALSE,0,1373,0.0576,0,0,7.14,
lts_inv5_48,2,YES,0,0,FALSE,0,4173,0.1772,0,0,19.09,
graphs_stronglyConnected_21,2,YES,0,0,FALSE,0,4774,0.2038,0,0,27.45,
lts_inv5_60,6,reached_max_iter,0,0,FALSE,0,13923,0.5751,0,0,72.34,
graphs_acyclic_27,2,YES,0,0,FALSE,0,4736,0.2024,0,0,24.11,
graphs_acyclic_26,6,reached_max_iter,0,0,FALSE,0,14989,0.6288,0,0,71.45,
lts_inv5_61,3,YES,0,0,FALSE,0,6661,0.2792,0,0,31.51,
graphs_stronglyConnected_20,2,YES,0,0,FALSE,0,4785,0.2046,0,0,24.78,
lts_inv5_49,5,YES,0,0,FALSE,0,10851,0.4567,0,0,53.5,
cv_inv3_40,1,YES,0,0,FALSE,0,1377,0.0577,0,0,6.72,
cv_inv3_50,1,YES,0,0,FALSE,0,1402,0.058,0,0,7.22,
cv_inv3_44,6,reached_max_iter,0,0,FALSE,0,10705,0.4187,0,0,41.5,
lts_inv5_71,6,reached_max_iter,0,0,FALSE,0,13799,0.5618,0,0,62.68,
lts_inv5_65,6,reached_max_iter,0,0,FALSE,0,13938,0.5752,0,0,68.65,
graphs_stronglyConnected_18,2,YES,0,0,FALSE,0,4755,0.2029,0,0,24.83,
lts_inv5_59,6,reached_max_iter,0,0,FALSE,0,12976,0.5375,0,0,64.58,
graphs_stronglyConnected_24,4,YES,0,0,FALSE,0,9299,0.3865,0,0,40.95,
graphs_acyclic_22,2,YES,0,0,FALSE,0,4730,0.202,0,0,23.69,
graphs_acyclic_23,1,YES,0,0,FALSE,0,2263,0.0981,0,0,12.3,
lts_inv5_58,5,YES,0,0,FALSE,0,10867,0.4502,0,0,59.75,
lts_inv5_64,3,YES,0,0,FALSE,0,6691,0.281,0,0,32.3,
graphs_stronglyConnected_19,2,YES,0,0,FALSE,0,4780,0.2043,0,0,22.24,
lts_inv5_70,2,YES,0,0,FALSE,0,4133,0.1754,0,0,20.53,
cv_inv3_45,2,YES,0,0,FALSE,0,3174,0.1261,0,0,12.01,
cv_inv3_51,1,YES,0,0,FALSE,0,1365,0.0568,0,0,6.11,
cv_inv3_47,1,YES,0,0,FALSE,0,1380,0.0574,0,0,5.67,
lts_inv5_66,6,reached_max_iter,0,0,FALSE,0,13943,0.5663,0,0,55.68,
lts_inv5_72,1,YES,0,0,FALSE,0,1657,0.0663,0,0,6.48,
graphs_acyclic_21,1,YES,0,0,FALSE,0,2257,0.0977,0,0,14.56,
lts_inv5_73,2,YES,0,0,FALSE,0,4244,0.1748,0,0,19.52,
lts_inv5_67,4,YES,0,0,FALSE,0,9021,0.3754,0,0,47.24,
cv_inv3_46,1,YES,0,0,FALSE,0,1403,0.0582,0,0,6.63,
graphs_noloops_12,1,YES,0,0,FALSE,0,1903,0.0759,0,0,7.18,
graphs_stronglyConnected_17,2,YES,0,0,FALSE,0,4795,0.2051,0,0,29.72,
lts_inv5_56,3,YES,0,0,FALSE,0,6464,0.2669,0,0,25.88,
graphs_transitive_1,2,YES,0,0,FALSE,0,4800,0.2051,0,0,22.88,
lts_inv5_57,6,reached_max_iter,0,0,FALSE,0,13099,0.5508,0,0,64.17,
graphs_noloops_13,2,YES,0,0,FALSE,0,4736,0.2023,0,0,28.83,
cv_inv3_48,2,YES,0,0,FALSE,0,3297,0.132,0,0,13.34,
graphs_noloops_11,2,YES,0,0,FALSE,0,4763,0.203,0,0,22.39,
lts_inv5_69,6,reached_max_iter,0,0,FALSE,0,13085,0.5471,0,0,65.34,
lts_inv5_55,6,YES,0,0,FALSE,0,14015,0.5796,0,0,72.11,
graphs_transitive_2,2,YES,0,0,FALSE,0,4724,0.2017,0,0,20.69,
lts_inv5_54,1,YES,0,0,FALSE,0,2026,0.0878,0,0,11.14,
lts_inv5_68,6,reached_max_iter,0,0,FALSE,1,11886,0.481,0,0,45.3,
graphs_noloops_10,2,YES,0,0,FALSE,0,4764,0.2036,0,0,22.64,
cv_inv3_49,2,YES,0,0,FALSE,0,3283,0.1313,0,0,15.08,
graphs_noloops_14,1,YES,0,0,FALSE,0,1743,0.067,0,0,5.38,
lts_inv5_50,2,YES,0,0,FALSE,0,4161,0.1765,0,0,20.76,
lts_inv5_44,2,YES,0,0,FALSE,0,4171,0.1773,0,0,23.7,
lts_inv5_45,6,reached_max_iter,0,0,FALSE,0,13263,0.5551,0,0,64.86,
lts_inv5_51,1,YES,0,0,FALSE,0,2022,0.0876,0,0,10.42,
graphs_noloops_15,2,YES,0,0,FALSE,0,4737,0.2023,0,0,21.98,
graphs_noloops_17,1,YES,0,0,FALSE,0,1729,0.066,0,0,5.9,
lts_inv5_47,1,YES,0,0,FALSE,0,1661,0.0664,0,0,6.01,
lts_inv5_53,3,YES,0,0,FALSE,0,6349,0.26,0,0,32.79,
graphs_acyclic_28,1,YES,0,0,FALSE,0,1833,0.0723,0,0,8.85,
lts_inv5_52,1,YES,0,0,FALSE,0,1678,0.0669,0,0,7.33,
lts_inv5_46,4,YES,0,0,FALSE,0,8628,0.3633,0,0,46.73,
graphs_noloops_16,2,YES,0,0,FALSE,0,4732,0.2021,0,0,33.19,
cv_inv3_28,1,YES,0,0,FALSE,0,1333,0.055,0,0,7.38,
graphs_complete_28,2,YES,0,0,FALSE,0,4737,0.2021,0,0,22.08,
lts_inv7_18,2,YES,0,0,FALSE,0,4161,0.1776,0,0,20.26,
graphs_oriented_11,1,YES,0,0,FALSE,0,2251,0.0976,0,0,10.7,
lts_inv7_24,1,YES,0,0,FALSE,0,1781,0.0738,0,0,6.88,
lts_inv7_30,2,YES,0,0,FALSE,0,4060,0.1724,0,0,19.2,
lts_inv7_25,2,YES,0,0,FALSE,0,4165,0.1778,0,0,22.26,
lts_inv7_19,1,YES,0,0,FALSE,0,1758,0.0729,0,0,8.96,
graphs_complete_29,6,reached_max_iter,0,0,FALSE,0,12439,0.4772,0,0,40.62,
cv_inv3_15,1,YES,0,0,FALSE,0,1402,0.058,0,0,10.16,
cv_inv3_29,1,YES,0,0,FALSE,0,1305,0.0528,0,0,6.02,
cv_inv3_17,3,YES,0,0,FALSE,0,5195,0.2053,0,0,21.61,
graphs_oriented_12,6,reached_max_iter,0,0,FALSE,0,12344,0.4701,0,0,40.5,
lts_inv7_27,2,YES,0,0,FALSE,0,4169,0.1778,0,0,19.47,
lts_inv7_26,4,YES,0,0,FALSE,0,8197,0.3399,0,0,39.67,
graphs_weaklyConnected_129,6,YES,0,0,FALSE,0,14750,0.6244,0,0,88.92,
graphs_oriented_13,2,YES,0,0,FALSE,0,4724,0.2017,0,0,24.6,
cv_inv3_16,2,YES,0,0,FALSE,0,3144,0.1246,0,0,13.98,
lts_inv7_22,1,YES,0,0,FALSE,0,1770,0.0737,0,0,8.55,
graphs_oriented_17,6,reached_max_iter,0,0,FALSE,0,12155,0.463,0,0,42.47,
