fileName,iterations,fixed,repeated_fixes,repeated_init_spec,fst_iter_repeated_init_spec,wrong_format_msg,analyzer_agent_tokens,analyzer_agent_cost,prompt_agent_tokens,prompt_agent_cost,running_time,Error_msg
cv_inv3_21,1,YES,0,0,FALSE,0,1414,0.0589,0,0,30.09,
cv_inv3_35,3,YES,0,0,FALSE,0,4445,0.1828,2130,0.0373,26.86,
graphs_weaklyConnected_136,6,reached_max_iter,0,0,FALSE,4,10238,0.3699,2330,0.0367,33.22,
lts_inv7_05,5,YES,0,0,FALSE,3,7926,0.2864,1064,0.0345,25.57,
graphs_oriented_18,6,reached_max_iter,0,0,FALSE,0,13875,0.5971,6087,0.0419,110.73,
lts_inv7_11,5,YES,0,0,FALSE,0,9885,0.4158,4266,0.0335,82.77,
lts_inv7_10,6,reached_max_iter,0,0,FALSE,2,10516,0.4097,3096,0.0365,53.3,
lts_inv7_04,6,YES,0,0,FALSE,3,9744,0.3654,2068,0.0343,42.04,
graphs_weaklyConnected_137,6,reached_max_iter,0,0,FALSE,1,12940,0.5387,4811,0.0364,77.46,
graphs_complete_34,3,YES,0,0,FALSE,0,6918,0.2973,2317,0.0364,55.41,
cv_inv3_34,1,YES,0,0,FALSE,0,1376,0.0577,0,0,12.46,
cv_inv3_20,1,YES,0,0,FALSE,0,1368,0.0559,0,0,8.63,
cv_inv3_36,1,YES,0,0,FALSE,0,1334,0.0538,0,0,6.91,
cv_inv3_22,1,YES,0,0,FALSE,0,1332,0.0539,0,0,6.12,
graphs_undirected_18,6,reached_max_iter,0,0,FALSE,3,9736,0.3429,2556,0.0254,30.21,
graphs_weaklyConnected_135,6,reached_max_iter,0,0,FALSE,1,13181,0.5495,4864,0.0369,76.82,
lts_inv7_12,1,YES,0,0,FALSE,0,1961,0.0851,0,0,10.56,
lts_inv7_06,1,YES,0,0,FALSE,0,1664,0.0665,0,0,7.46,
lts_inv7_07,6,reached_max_iter,0,0,FALSE,2,10561,0.4209,4328,0.0344,55.56,
lts_inv7_13,1,YES,0,0,FALSE,0,1961,0.0851,0,0,15.25,
graphs_weaklyConnected_134,6,reached_max_iter,0,0,FALSE,3,12850,0.5029,3688,0.0424,73.58,
