fileName,iterations,fixed,repeated_fixes,repeated_init_spec,fst_iter_repeated_init_spec,wrong_format_msg,analyzer_agent_tokens,analyzer_agent_cost,prompt_agent_tokens,prompt_agent_cost,running_time,Error_msg
bempl1,6,reached_max_iter,0,0,FALSE,5,3974,0.1261,0,0,20.9,
balancedBST3_1,6,reached_max_iter,0,0,FALSE,5,6500,0.2149,0,0,17.58,
student17_1,6,reached_max_iter,0,0,FALSE,4,5403,0.1874,0,0,39.13,
dll3_1,1,YES,0,0,FALSE,0,1160,0.047,0,0,6.47,
dll1_1,1,YES,0,0,FALSE,0,1201,0.0486,0,0,14.31,
student16,6,reached_max_iter,0,0,FALSE,2,5811,0.2285,0,0,50.08,
balancedBST2_1,1,YES,0,0,FALSE,0,1535,0.0652,0,0,21.79,
student12_1,1,YES,0,0,FALSE,0,1198,0.0485,0,0,12.75,
ctree1,1,YES,0,0,FALSE,0,806,0.0314,0,0,6.57,
student15,2,YES,0,0,FALSE,0,2319,0.0942,0,0,16.85,
fsm1_1,6,reached_max_iter,0,0,FALSE,0,6151,0.2424,0,0,69.07,
balancedBST1,6,reached_max_iter,0,0,FALSE,5,6682,0.22,0,0,15.63,
student9,1,YES,0,0,FALSE,0,1232,0.0504,0,0,7.93,
student10,1,YES,0,0,FALSE,0,1145,0.0465,0,0,6.98,
student11,6,reached_max_iter,0,0,FALSE,5,5298,0.1735,0,0,11.68,
student14_1,2,YES,0,0,FALSE,0,2244,0.0903,0,0,13.45,
student8,1,YES,0,0,FALSE,0,1171,0.0478,0,0,13.58,
arr2,6,reached_max_iter,0,0,FALSE,5,4889,0.1594,0,0,13.81,
student13,1,YES,0,0,FALSE,0,1204,0.049,0,0,9.72,
dll2_1,1,YES,0,0,FALSE,0,1162,0.0474,0,0,7.11,
arr1,1,YES,0,0,FALSE,0,983,0.039,0,0,16.32,
cd2,1,YES,0,0,FALSE,0,820,0.0319,0,0,7.12,
student6_1,1,YES,0,0,FALSE,0,1150,0.047,0,0,9,
student18_1,6,reached_max_iter,0,0,FALSE,5,5374,0.177,0,0,11.61,
student5,6,reached_max_iter,0,0,FALSE,5,5547,0.183,0,0,12.48,
student4,1,YES,0,0,FALSE,0,1147,0.0468,0,0,9.56,
dll4,1,YES,0,0,FALSE,0,1164,0.0477,0,0,13.85,
student1,1,YES,0,0,FALSE,0,1183,0.0483,0,0,7.22,
student2_1,6,reached_max_iter,0,0,FALSE,5,5312,0.175,0,0,30.07,
grade1,6,reached_max_iter,0,0,FALSE,3,4249,0.149,0,0,21.31,
fsm2,1,YES,0,0,FALSE,0,944,0.0373,0,0,6.94,
cd1_1,2,YES,0,0,FALSE,0,1721,0.0668,0,0,9.9,
student19_1,6,reached_max_iter,0,0,FALSE,5,5298,0.1733,0,0,18.99,
addr1,6,reached_max_iter,0,0,FALSE,5,5323,0.1741,0,0,23.61,
farmer1,1,YES,0,0,FALSE,0,1805,0.0763,0,0,14.26,
student7_1,1,YES,0,0,FALSE,0,1249,0.0501,0,0,8.28,
other1,1,YES,0,0,FALSE,0,816,0.0312,0,0,4.61,
student3_1,5,YES,0,0,FALSE,0,6619,0.269,0,0,63.59,
